Kod,Nazwa,JM,WysokoscCm,SzerokoscCm,DlugoscCm,JmZ,Przelicznik_JmJmZ,WagaKG,Typ,NumerKatalogowy,SWW,Grupa,StanMin,StanMax,VAT,VATZak,VATFlaga,VatZakFlaga,EAN,Opis,OpakowanieKaucja,OdwrotneObciazenie,CenaZCzteremaMiejscami,Granica ceny,Minimalna cena/mar¿a,Dostawca,Kod u dostawcy,Kod producenta,KosztUslugiTyp,KosztUslugi,KosztUslugiWal,Waluta,Intrastat - kod CN,Intrastat - kraj pochodzenia,Intrastat - masa,Intrastat - JmPomPrzelicznikL,Intrastat - JmPomPrzelicznikM,Podzielona p³atnoœæ,Cena zakupu,Waluta Cena zakupu,Cena hurtowa 1,Waluta Cena hurtowa 1,Cena hurtowa 2,Waluta Cena hurtowa 2,Cena hurtowa 3,Waluta Cena hurtowa 3,Cena detaliczna,Waluta Cena detaliczna
 C53620F/C,Fireworks show 536 C53620F/C - 536 strza³ów 0.8”,szt,,,,,,0,UP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,783.74,783.74,PLN,,,0,1,1,0,783.74,PLN,0,PLN,0,PLN,0,PLN,0,PLN
 TXB018,Scent Of Fire TXB018 - 320 strza³ów 0.8”,szt,,,,,,0,UP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
 TXP484,B¹czek TXP484 - 6 sztuk,szt,,,,,,0,UP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1,do usuniecia,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,22.28,PLN,0,PLN,0,PLN,0,PLN,0,PLN
1000-uniw,Funke Blue 3 FB3B - 20 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,21.87,PLN,0,PLN,0,PLN,26.9,PLN
1001-uniw,Funke Scream 3S - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,duplikat-727-1001,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,16.18,PLN,0,PLN,0,PLN,19.9,PLN
1002-uniw,"Magic Heaven F2S20-003 - 100 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,118.7,PLN,0,PLN,0,PLN,146,PLN
1003-uniw,"Grand Crown F2S20-002 - 100 strza³ów 0.8""",szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,121.14,PLN,0,PLN,0,PLN,149,PLN
1004-uniw,Megatresk 0204az - 10 sztuk,opak,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,10.49,PLN,0,PLN,0,PLN,12.9,PLN
1005-uniw,PSSC001 Petarda Mega Bomb XXL,szt,,,,,,0,TP,,, \ FAJERWERKI,0,0,23,23,2,2,,,0,0,0,0,0,,,,1,0,0,PLN,,,0,1,1,0,0,PLN,0,PLN,0,PLN,0,PLN,0,PLN
